City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Brae,60.3964,-1.353,6.53,83,100,11.93,GB,1664213364
Dingzhou,38.5131,114.9956,15.06,40,5,1.47,CN,1664213366
Sungai Penuh,-2.0833,101.3833,18.13,97,75,0.91,ID,1664213367
Pisco,-13.7,-76.2167,18.03,68,20,4.63,PE,1664213369
Iqaluit,63.7506,-68.5145,8.85,39,20,7.72,CA,1664213371
Muli,2.9167,73.5667,28.26,74,77,6.08,MV,1664213372
Gorin,51.1983,136.6669,7.37,62,100,2.57,RU,1664213374
Brighton,43.1476,-77.5506,18.17,77,75,5.66,US,1664213375
Las Lomas,-4.6533,-80.2467,28.33,39,55,3.18,PE,1664213377
Turukhansk,65.8167,87.9833,-3.82,86,90,3.58,RU,1664213378
Berlevåg,70.8578,29.0864,6.0,70,20,1.54,NO,1664213380
Novoagansk,61.9449,76.6625,-2.87,81,90,2.67,RU,1664213382
Buchanan,5.8808,-10.0467,23.22,92,100,2.4,LR,1664213384
Vanino,49.0869,140.2543,10.01,82,52,2.29,RU,1664213386
Chapais,49.7834,-74.8492,14.88,45,79,2.01,CA,1664213387
Torbay,47.6666,-52.7314,22.43,64,75,8.23,CA,1664213388
Yining,29.0361,114.5636,20.76,75,63,1.07,CN,1664213392
Harper,4.375,-7.7169,24.77,83,100,4.07,LR,1664213394
Banjar,-8.19,114.9675,23.89,88,82,4.05,ID,1664213395
Longyearbyen,78.2186,15.6401,5.91,75,20,1.03,SJ,1664213323
Monrovia,6.3005,-10.7969,23.12,93,100,3.5,LR,1664213204
Khatanga,71.9667,102.5,-3.26,95,100,4.0,RU,1664213399
Mantua,22.2889,-84.2844,25.7,81,100,4.87,CU,1664213401
Boguchany,58.3814,97.4531,-1.52,97,54,1.18,RU,1664213402
Paraopeba,-19.2757,-44.4033,32.88,26,20,2.74,BR,1664213405
Kapuskasing,49.4169,-82.4331,15.05,58,75,3.6,CA,1664213407
Rio Branco,-9.9747,-67.81,34.34,38,75,3.09,BR,1664213408
Kaeo,-35.1,173.7833,14.07,89,100,5.62,NZ,1664213410
Colares,38.7992,-9.4469,23.82,70,20,11.18,PT,1664213411
Kaitangata,-46.2817,169.8464,9.56,94,100,1.42,NZ,1664213413
Tuktoyaktuk,69.4541,-133.0374,0.0,86,75,3.09,CA,1664213417
Sivaki,52.6333,126.75,1.35,71,23,2.86,RU,1664213418
Albany,-35.0169,117.8917,9.52,90,7,2.16,AU,1664213420
Dubbo,-32.25,148.6167,13.07,88,100,2.57,AU,1664213421
Belaya Gora,68.5333,146.4167,-1.94,78,99,3.68,RU,1664213423
Guerrero Negro,27.9769,-114.0611,27.8,61,3,3.05,MX,1664213407
Grindavik,63.8424,-22.4338,7.97,49,0,6.17,IS,1664213426
Emerald,-23.5333,148.1667,18.52,81,48,2.72,AU,1664213427
Esperance,-33.8667,121.9,9.83,88,0,3.86,AU,1664213430
Oria,43.2554,-2.0187,18.08,69,87,4.02,ES,1664213431
Bathsheba,13.2167,-59.5167,28.34,83,75,7.72,BB,1664213433
Hofn,64.2539,-15.2082,6.01,39,75,13.38,IS,1664213434
Nanortalik,60.1432,-45.2371,7.76,92,100,6.24,GL,1664213436
Flinders,-34.5833,150.8552,14.65,86,77,1.34,AU,1664213438
Palenque/Temp,17.5167,-91.9667,28.09,78,40,0.0,MX,1664213440
Narsaq,60.9167,-46.05,10.12,93,100,3.5,GL,1664213442
Kaseda-shirakame,31.4167,130.3167,24.21,87,14,2.07,JP,1664213444
Bhaderwah,32.9784,75.7186,14.91,88,0,1.15,IN,1664213447
Nuuk,64.1835,-51.7216,10.34,81,100,15.43,GL,1664213448
Hvolsvollur,63.7533,-20.2243,7.37,49,49,4.15,IS,1664213450
Pochutla,15.7432,-96.4661,32.12,74,91,0.97,MX,1664213452
Bengkulu,-3.8004,102.2655,24.6,91,72,3.24,ID,1664213453
Qaanaaq,77.484,-69.3632,-2.29,77,94,2.82,GL,1664213455
Clyde River,70.4692,-68.5914,3.13,87,75,1.03,CA,1664213457
Puerto Gaitán,4.3133,-72.0816,32.94,49,33,1.28,CO,1664213459
Yellowknife,62.456,-114.3525,6.29,81,20,3.6,CA,1664213460
Panabá,21.2833,-88.2667,32.8,48,21,6.39,MX,1664213462
Olafsvik,64.8945,-23.7142,7.35,55,56,3.93,IS,1664213463
Geraldton,-28.7667,114.6,12.23,94,0,4.12,AU,1664213465
Jinchang,38.4953,102.1739,18.41,34,100,0.25,CN,1664213466
Ust-Tsilma,65.441,52.1498,0.17,69,79,2.09,RU,1664213468
Cabo San Lucas,22.8909,-109.9124,34.54,58,0,3.6,MX,1664213470
Dingle,52.1408,-10.2689,13.77,71,83,9.91,IE,1664213471
Gold Coast,-28.0,153.4333,18.43,92,40,2.57,AU,1664213450
Tasiilaq,65.6145,-37.6368,5.09,88,100,5.78,GL,1664213473
Upernavik,72.7868,-56.1549,2.14,68,82,2.46,GL,1664213475
Rogovatoye,51.23,38.3818,9.99,85,100,2.14,RU,1664213476
Bubaque,11.2833,-15.8333,26.64,77,99,8.45,GW,1664213478
Huarmey,-10.0681,-78.1522,19.0,71,80,5.27,PE,1664213479
Egersund,58.4513,5.9997,10.6,84,85,5.81,NO,1664213481
Koungou,-12.7336,45.2042,23.84,78,0,0.0,YT,1664213482
Chui,-33.6971,-53.4616,20.52,65,89,2.5,UY,1664213483
Kaniama,-7.5667,24.1833,24.99,47,56,1.0,CD,1664213486
Umm Bāb,25.2142,50.8072,30.12,60,0,6.18,QA,1664213487
Moose Factory,51.2585,-80.6094,16.0,58,20,4.63,CA,1664213489
Atasū,48.6814,71.6433,12.92,37,13,4.35,KZ,1664213490
Rafaela,-31.2503,-61.4867,23.88,23,3,0.45,AR,1664213293
Moerai,-22.4333,-151.3333,22.51,79,51,7.07,PF,1664213493
Dalbandin,28.8947,64.4101,27.81,9,0,1.97,PK,1664213496
Zhuanghe,39.7008,122.9911,15.78,86,0,0.89,CN,1664213497
Kasongo-Lunda,-6.4667,16.8167,27.29,52,100,0.27,CD,1664213500
Ostrovnoy,68.0531,39.5131,4.05,84,100,4.23,RU,1664213502
Cape Town,-33.9258,18.4232,16.72,61,20,2.06,ZA,1664213317
Menongue,-14.6585,17.691,24.23,21,60,2.37,AO,1664213504
Mossamedes,-15.1961,12.1522,18.8,70,94,4.92,AO,1664213506
Constitución,-35.3333,-72.4167,13.52,65,100,3.95,CL,1664213507
Ponta do Sol,17.1994,-25.0919,27.88,72,73,3.81,CV,1664213510
Yachimata,35.65,140.3167,22.55,94,0,1.54,JP,1664213511
Porto Novo,17.0197,-25.0647,28.0,71,75,2.84,CV,1664213514
Salvacion,7.9833,126.1333,23.81,84,100,0.87,PH,1664213516
Amapá,1.0,-52.0,33.37,40,30,3.02,BR,1664213517
Mildura,-34.2,142.15,9.48,91,15,4.13,AU,1664213519
Ola,59.5833,151.2833,3.5,66,71,2.67,RU,1664213520
Sabalgarh,26.25,77.4,26.86,68,65,2.68,IN,1664213522
Mörön,47.3825,110.3165,10.57,36,14,2.87,MN,1664213523
Rikitea,-23.1203,-134.9692,19.58,60,1,4.21,PF,1664213526
Ndélé,8.4109,20.6473,22.54,92,64,1.07,CF,1664213528
Basco,20.4487,121.9702,28.35,78,40,9.74,PH,1664213529
Tautira,-17.7333,-149.15,24.87,77,26,6.43,PF,1664213531
São Filipe,14.8961,-24.4956,25.58,74,75,2.77,CV,1664213533
Kovdor,67.5662,30.4758,5.38,96,100,1.17,RU,1664213534
Saint-Joseph,-21.3667,55.6167,22.21,74,44,5.7,RE,1664213536
Saint-Louis,-21.2667,55.4167,22.05,53,100,4.12,RE,1664213537
Zhigansk,66.7697,123.3711,-0.38,97,99,2.61,RU,1664213538
Iquique,-20.2208,-70.1431,17.02,67,7,2.28,CL,1664213540
Rafai,4.95,23.9167,20.42,97,78,0.72,CF,1664213541
Mount Gambier,-37.8333,140.7667,5.34,92,54,1.24,AU,1664213544
Saint-Philippe,-21.3585,55.7679,22.77,76,42,5.65,RE,1664213545
Haines Junction,60.7522,-137.5108,0.97,93,100,0.0,CA,1664213547
Mount Isa,-20.7333,139.5,24.87,22,1,6.69,AU,1664213548
Saint-Pierre,-21.3393,55.4781,22.82,53,100,4.12,RE,1664213549
Katobu,-4.9408,122.5276,22.83,86,55,1.04,ID,1664213551
Comodoro Rivadavia,-45.8667,-67.5,15.92,23,20,18.52,AR,1664213552
East London,-33.0153,27.9116,17.52,100,100,4.12,ZA,1664213217
Okitipupa,6.5047,4.7839,23.16,96,100,1.53,NG,1664213555
Igrim,63.1906,64.4162,-1.49,74,58,2.3,RU,1664213557
Celestún,20.8667,-90.4,29.77,63,3,5.05,MX,1664213558
Bandarbeyla,9.4942,50.8122,25.19,87,26,9.7,SO,1664213560
Manitouwadge,49.1215,-85.8403,5.96,93,100,4.79,CA,1664213562
Orán,-23.1322,-64.326,31.9,19,0,2.53,AR,1664213563
Srednekolymsk,67.45,153.6833,0.03,67,100,3.34,RU,1664213565
Ratnagiri,16.9833,73.3,25.05,85,2,2.84,IN,1664213566
Norman Wells,65.282,-126.8329,3.02,100,100,2.06,CA,1664213568
Bull Savanna,17.8868,-77.5902,26.74,76,100,5.99,JM,1664213571
Lebu,-37.6167,-73.65,11.02,94,100,3.84,CL,1664213512
Yeppoon,-23.1333,150.7333,17.88,82,2,2.78,AU,1664213574
Santa Cruz de Tenerife,28.4682,-16.2546,24.24,97,100,4.63,ES,1664213575
Zitlala,17.6333,-99.0833,18.7,77,100,1.34,MX,1664213578
Ayan,56.45,138.1667,5.22,89,100,2.86,RU,1664213580
Dobrun',53.1851,34.2462,9.04,87,38,2.0,RU,1664213582
Stornoway,58.2093,-6.3865,9.98,66,20,8.23,GB,1664213584
Padang,-0.9492,100.3543,25.43,90,99,0.94,ID,1664213586
Vostok,46.4856,135.8833,7.83,94,37,1.72,RU,1664213588
Aykhal,66.0,111.5,-8.62,91,100,2.38,RU,1664213589
Andros Town,24.7,-77.7667,29.98,72,100,9.34,BS,1664213591
Acajutla,13.5928,-89.8275,27.98,75,80,2.39,SV,1664213592
Santa Cruz Cabrália,-16.2781,-39.0247,25.13,78,100,2.06,BR,1664213594
Chālūs,36.655,51.4204,19.7,94,100,4.12,IR,1664213596
Vodnyy,63.5046,53.4095,-0.87,72,37,2.35,RU,1664213597
Mehamn,71.0357,27.8492,6.97,76,0,0.0,NO,1664213600
Vaini,-21.2,-175.2,22.09,100,75,2.57,TO,1664213602
Saryozek,44.3583,77.9753,19.47,26,35,2.07,KZ,1664213603
Dāmghān,36.1683,54.348,22.79,48,0,2.46,IR,1664213605
Voyvozh,62.892,54.9635,-1.11,69,50,3.11,RU,1664213607
Kuruman,-27.4524,23.4325,20.55,24,48,7.31,ZA,1664213610
Maun,-19.9833,23.4167,30.98,22,0,1.03,BW,1664213611
Souillac,-20.5167,57.5167,22.21,64,20,7.2,MU,1664213613
Jaunjelgava,56.6167,25.0833,10.6,81,92,2.87,LV,1664213614
Rock Sound,24.9,-76.2,29.08,75,99,8.94,BS,1664213615
Puerto El Triunfo,13.2833,-88.55,31.48,78,74,3.78,SV,1664213617
Half Moon Bay,37.4636,-122.4286,21.99,83,100,2.57,US,1664213430
Nova Venécia,-18.7106,-40.4006,27.9,54,71,4.39,BR,1664213620
Butaritari,3.0707,172.7902,27.78,74,69,8.64,KI,1664213622
Anshun,26.25,105.9333,16.77,93,11,1.29,CN,1664213623
Vila Franca do Campo,37.7167,-25.4333,24.0,62,100,4.74,PT,1664213625
Eqbālīyeh,35.3022,51.5358,30.9,24,0,5.69,IR,1664213627
Adrar,25.75,-1.0,37.84,12,38,2.74,DZ,1664213628
Camopi,3.1655,-52.3158,36.72,26,10,2.31,GF,1664213631
Novo Cruzeiro,-17.4681,-41.8753,28.71,40,19,3.94,BR,1664213632
Saskylakh,71.9167,114.0833,-0.49,78,100,6.56,RU,1664213634
Trat,12.5,102.5,26.04,93,100,0.61,TH,1664213637
Grand-Santi,4.25,-54.3833,37.19,28,3,1.8,GF,1664213638
Talnakh,69.4865,88.3972,-3.77,79,93,1.1,RU,1664213640
Kuching,1.55,110.3333,23.12,100,40,1.54,MY,1664213641
Constantine,36.365,6.6147,24.67,53,75,2.57,DZ,1664213533
Salalah,17.0151,54.0924,27.05,89,75,4.12,OM,1664213644
Kibre Mengist,5.8833,38.9833,14.51,91,46,0.38,ET,1664213646
Sur,22.5667,59.5289,27.29,79,0,5.25,OM,1664213647
Hithadhoo,-0.6,73.0833,27.92,73,70,4.11,MV,1664213649
Yarkovo,57.4028,67.0786,1.29,53,100,4.7,RU,1664213651
Mastic Beach,40.7668,-72.8521,23.6,68,0,7.72,US,1664213653
Kristianstad,56.0313,14.1524,12.08,84,75,3.09,SE,1664213654
Aksarka,66.5606,67.7975,-2.89,87,84,4.58,RU,1664213656
Mukhen,48.1,136.1,8.02,77,90,1.71,RU,1664213658
Khandyga,62.6667,135.6,3.21,98,100,0.1,RU,1664213659
Kulhudhuffushi,6.6221,73.07,28.05,73,52,7.12,MV,1664213661
Saint-Georges,3.9,-51.8,34.03,49,40,3.6,GF,1664213665
Martapura,-3.4167,114.85,24.05,94,100,0.51,ID,1664213666
Takoradze,4.8845,-1.7554,24.28,88,99,3.31,GH,1664213668
Cherskiy,68.75,161.3,-3.6,74,25,1.81,RU,1664213669
Wiang Sa,8.6359,99.3666,24.22,90,99,0.39,TH,1664213671
Antalya Province,36.7741,30.7178,24.49,67,0,0.0,TR,1664213459
Nikolskoye,59.7035,30.7861,9.95,87,100,0.97,RU,1664213674
Kamenka,51.3223,42.7678,9.15,65,98,1.97,RU,1664213675
San Cristobal,-0.9045,-89.6174,23.06,73,40,5.14,EC,1664213676
Nkhotakota,-12.9274,34.2961,24.5,62,2,2.29,MW,1664213678
Jaguarari,-10.2639,-40.1958,30.16,30,27,4.61,BR,1664213680
Semnan,35.5729,53.3971,24.34,34,0,1.37,IR,1664213683
San Carlos del Zulia,9.0,-71.9135,33.0,48,100,1.67,VE,1664213685
Ruteng,-8.6136,120.4721,15.16,78,8,0.57,ID,1664213686
Dongsheng,39.8161,109.9776,15.6,39,48,3.63,CN,1664213687
Canutama,-6.5339,-64.3831,40.84,20,4,1.49,BR,1664213689
Zhangye,38.9342,100.4517,18.66,24,100,0.37,CN,1664213690
Beloha,-25.1667,45.05,23.58,60,0,2.03,MG,1664213692
Henties Bay,-22.116,14.2845,13.34,81,3,4.45,NA,1664213694
Batagay,67.6333,134.6333,-1.53,95,100,1.56,RU,1664213696
Capão da Canoa,-29.7456,-50.0097,18.97,76,100,2.29,BR,1664213698
São José da Coroa Grande,-8.8978,-35.1478,25.51,70,42,5.74,BR,1664213700
Tarakan,3.3,117.6333,23.72,94,20,3.09,ID,1664213704
Storforshei,66.4043,14.5233,10.92,66,75,5.66,NO,1664213706
Mehrān,33.1222,46.1646,29.55,19,0,3.73,IR,1664213708
Lüderitz,-26.6481,15.1594,13.54,83,0,2.0,NA,1664213709
Sembakung,3.8167,117.25,23.27,99,97,0.88,ID,1664213710
Yatou,37.15,122.3833,16.27,80,63,1.27,CN,1664213712
Lompoc,34.6391,-120.4579,15.4,94,100,4.63,US,1664213580
Hasaki,35.7333,140.8333,19.22,76,0,4.11,JP,1664213717
Berdigestyakh,62.0989,126.6992,-3.75,97,100,1.42,RU,1664213719
Erenhot,43.6475,111.9767,16.91,23,0,4.43,CN,1664213721
Los Chiles,11.0333,-84.7167,30.99,60,55,2.6,CR,1664213723
Tura,64.2833,100.25,-5.15,96,100,3.55,RU,1664213725
Deer Lake,49.1667,-57.4316,17.92,77,100,4.63,CA,1664213726
Manta,-0.95,-80.7333,24.88,73,40,6.69,EC,1664213727
La Santisima Trinidad,-14.8333,-64.9,34.99,43,75,5.66,BO,1664213729
Gamba,-2.65,10.0,24.22,81,78,2.85,GA,1664213731
Mahajanga,-15.7167,46.3167,24.01,78,20,1.54,MG,1664213732
Ilhabela,-23.7781,-45.3581,19.78,92,99,1.8,BR,1664213734
Tāybād,34.74,60.7756,20.76,45,0,11.04,IR,1664213735
Neyshabur,36.2133,58.7958,20.46,44,0,2.99,IR,1664213737
Chipinge,-20.1883,32.6236,21.62,53,17,4.59,ZW,1664213738
Saint-Pierre,46.7654,-56.1695,16.98,82,0,6.69,PM,1664213739
Severnyy,50.677,36.5532,11.02,82,0,3.0,RU,1664213741
Muriti,-1.9833,32.9167,24.09,69,57,3.27,TZ,1664213742
Baykit,61.67,96.37,-3.61,88,87,1.03,RU,1664213744
Tongliao,43.6125,122.2653,13.79,87,5,1.28,CN,1664213745
Pevek,69.7008,170.3133,-1.76,81,34,2.33,RU,1664213747
Yinchuan,38.4681,106.2731,21.02,36,100,2.53,CN,1664213748
Barrow,71.2906,-156.7887,-1.99,74,100,6.69,US,1664213750
Leningradskiy,69.3833,178.4167,-1.37,85,98,1.94,RU,1664213751
Quedlinburg,51.7833,11.15,14.05,64,100,3.64,DE,1664213752
Te Anau,-45.4167,167.7167,10.62,96,100,0.87,NZ,1664213754
Bethel,41.3712,-73.414,22.53,65,20,4.63,US,1664213473
Koíla,40.3333,21.7833,19.69,49,84,2.57,GR,1664213756
College,64.8569,-147.8028,6.0,79,100,3.6,US,1664213757
Alofi,-19.0595,-169.9187,22.94,94,100,2.06,NU,1664213759
Brisbane,-27.4679,153.0281,20.33,75,75,3.6,AU,1664213594
New Norfolk,-42.7826,147.0587,10.51,85,98,0.38,AU,1664213761
Hervey Bay,-25.2986,152.8535,20.36,67,2,3.91,AU,1664213763
Hobart,-42.8794,147.3294,10.7,90,100,0.51,AU,1664213680
Ahipara,-35.1667,173.1667,13.84,84,43,5.16,NZ,1664213767
Fairbanks,64.8378,-147.7164,6.01,80,20,3.6,US,1664213715
Pa Sang,18.5262,98.9394,25.11,95,69,0.05,TH,1664213770
Broken Hill,-31.95,141.4333,9.85,68,0,6.1,AU,1664213772
Urusha,54.05,122.9,-0.76,77,83,0.93,RU,1664213774
Vardø,70.3705,31.1107,4.99,87,0,2.57,NO,1664213776
Sakakah,29.9697,40.2064,32.76,19,0,3.84,SA,1664213777
Lang Son,21.8333,106.7333,23.12,87,65,0.32,VN,1664213779
Vao,-22.6667,167.4833,22.14,82,1,2.49,NC,1664213780
Innisfail,-17.5333,146.0333,23.29,73,84,1.3,AU,1664213782
Bluff,-46.6,168.3333,9.89,91,100,2.38,NZ,1664213784
Saint Paul Harbor,57.79,-152.4072,5.73,87,100,2.57,US,1664213600
Iquitos,-3.7481,-73.2472,33.02,55,75,2.57,PE,1664213786
Nome,64.5011,-165.4064,5.04,82,75,3.09,US,1664213491
Busselton,-33.65,115.3333,9.85,88,2,2.72,AU,1664213790
Umluj,25.0213,37.2685,31.74,45,2,4.92,SA,1664213792
Mabaruma,8.2,-59.7833,30.83,62,83,2.96,GY,1664213793
Avarua,-21.2078,-159.775,23.5,84,100,4.15,CK,1664213514
Palmer,42.1584,-72.3287,22.65,60,75,5.14,US,1664213796
Karratha,-20.7377,116.8463,24.03,32,7,5.03,AU,1664213797
Ambon City,-3.6954,128.1814,24.08,94,40,3.09,ID,1664213798
Abalak,15.4509,6.2793,38.15,15,86,4.63,NE,1664213800
Tuatapere,-46.1333,167.6833,11.33,93,100,1.33,NZ,1664213801
Byron Bay,-28.65,153.6167,16.08,89,89,3.37,AU,1664213549
Ancud,-41.8697,-73.8203,9.57,66,38,4.54,CL,1664213555
Ambulu,-8.345,113.6058,23.86,85,90,2.0,ID,1664213805
Tateyama,34.9833,139.8667,21.72,79,0,3.44,JP,1664213807
Buala,-8.145,159.5921,26.03,80,70,0.8,SB,1664213808
Fort Nelson,58.8053,-122.7002,10.77,71,75,1.54,CA,1664213810
Port Hedland,-20.3167,118.5667,25.03,20,6,6.17,AU,1664213811
Kumul,42.8,93.45,21.78,20,1,2.15,CN,1664213814
Saint-François,16.2526,-61.2741,30.98,100,100,6.24,GP,1664213815
Antofagasta,-23.65,-70.4,15.6,65,27,4.4,CL,1664213817
Arlit,18.7369,7.3853,40.28,10,79,6.91,NE,1664213818
Portland,-38.3333,141.6,9.87,91,45,3.63,AU,1664213820
Chiang Kham,19.5233,100.3,21.27,97,17,0.8,TH,1664213821
Port Lincoln,-34.7333,135.8667,10.68,61,25,6.83,AU,1664213822
Hermanus,-34.4187,19.2345,14.33,79,96,2.78,ZA,1664213529
Atambua,-9.1061,124.8925,22.44,83,68,1.26,ID,1664213825
Carnarvon,-24.8667,113.6333,19.46,38,1,6.7,AU,1664213827
Port Macquarie,-31.4333,152.9167,13.94,94,31,1.03,AU,1664213828
Port Pirie,-33.1833,138.0167,8.41,80,59,3.8,AU,1664213831
Jodhpur,26.2867,73.03,29.33,46,22,3.2,IN,1664213595
Victoria,-4.6167,55.45,26.59,74,40,6.17,SC,1664213835
Teknāf,20.8624,92.3058,26.07,87,100,1.68,BD,1664213837
The Pas,53.8251,-101.2541,14.01,51,0,4.12,CA,1664213838
Dunedin,-45.8742,170.5036,9.33,92,100,0.98,NZ,1664213840
Waipawa,-41.4122,175.5153,5.7,88,100,2.6,NZ,1664213841
Thompson,55.7435,-97.8558,6.09,52,20,2.57,CA,1664213844
Roebourne,-20.7833,117.1333,24.33,29,6,5.12,AU,1664213845
Arrifes,37.7667,-25.7,22.91,64,20,5.14,PT,1664213846
Marsabit,2.3284,37.9899,21.57,52,40,9.76,KE,1664213848
Geraldton,49.7267,-86.9484,3.77,95,100,4.81,CA,1664213745
Provideniya,64.3833,-173.3,3.44,97,98,4.34,RU,1664213852
Bambanglipuro,-7.95,110.2833,24.39,85,89,4.1,ID,1664213853
Ponta Delgada,37.7333,-25.6667,24.17,64,20,5.14,PT,1664213855
Castro,-42.4721,-73.7732,11.88,74,75,4.63,CL,1664213856
Sudak,44.85,34.9667,17.94,85,66,2.26,UA,1664213858
Brodokalmak,55.5748,62.082,0.5,99,100,5.8,RU,1664213859
Katsuura,35.1333,140.3,21.31,82,0,3.82,JP,1664213860
Ko Samui,9.5357,99.9357,27.9,75,96,6.09,TH,1664213862
Scarborough,11.1833,-60.7333,26.55,83,40,2.57,TT,1664213863
Naze,28.3667,129.4833,25.51,84,25,3.83,JP,1664213864
Santander,43.4647,-3.8044,18.03,74,40,8.75,ES,1664213573
Nemuro,43.3236,145.575,15.48,87,63,1.71,JP,1664213867
Hilo,19.7297,-155.09,26.45,79,20,3.6,US,1664213868
Kohima,25.6667,94.1167,17.2,97,59,1.13,IN,1664213870
Kavaratti,10.5669,72.642,27.55,73,46,8.01,IN,1664213872
Arraial do Cabo,-22.9661,-42.0278,26.98,73,40,8.75,BR,1664213873
Kahului,20.8947,-156.47,26.58,73,40,3.13,US,1664213682
Soure,-0.7167,-48.5233,29.09,65,57,5.24,BR,1664213877
Casper,42.8666,-106.3131,22.12,31,0,3.09,US,1664213879
Anori,-3.7728,-61.6442,40.49,20,13,2.0,BR,1664213882
Huilong,31.8111,121.655,20.52,79,95,3.81,CN,1664213883
Verkhnetulomskiy,68.6073,31.7962,8.07,86,100,1.21,RU,1664213885
Kapaa,22.0752,-159.319,24.18,90,75,2.57,US,1664213886
Vila Velha,-20.3297,-40.2925,25.97,79,100,5.66,BR,1664213888
Tsimmerbude,54.675,20.1347,12.76,83,94,1.74,RU,1664213890
Phalaborwa,-23.943,31.1411,30.6,21,1,2.79,ZA,1664213891
Kismayo,-0.3582,42.5454,25.03,83,15,6.39,SO,1664213893
Mujiayingzi,42.1167,118.7833,14.17,45,4,1.96,CN,1664213894
Mezen',65.8522,44.24,1.68,74,10,3.08,RU,1664213896
Bhātāpāra,21.7333,81.9333,25.7,78,93,2.26,IN,1664213897
Gondanglegi,-7.7479,112.0132,24.07,83,98,6.47,ID,1664213899
Makakilo City,21.3469,-158.0858,25.38,88,0,2.06,US,1664213830
Gorontalo,0.5412,123.0595,22.63,84,92,1.03,ID,1664213902
Magdagachi,53.45,125.8,0.62,67,36,1.69,RU,1664213903
Ovalle,-30.5983,-71.2003,22.77,32,80,3.41,CL,1664213905
San Andrés,12.5847,-81.7006,30.01,74,40,3.6,CO,1664213906
Umuarama,-23.7664,-53.325,18.08,94,100,4.92,BR,1664213908
Yārāda,17.65,83.2667,27.41,81,95,0.5,IN,1664213910
Plettenberg Bay,-34.0527,23.3716,16.61,93,61,7.41,ZA,1664213911
